,level_0,index,answerKey,question,choices,A,B,C,D,full_question,full_question_test,res_finetuned
468,468,1182,B,"Computers have allowed everybody to answer questions they have quickly, but still we seem to be getting duller despite access to this what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['economic boom', 'advance knowledge', 'produce sound', 'teach',
       'follow instructions'], dtype=object)}",economic boom,advance knowledge,produce sound,teach,,"Question: Computers have allowed everybody to answer questions they have quickly, but still we seem to be getting duller despite access to this what? (A) economic boom (B) advance knowledge (C) produce sound (D) teach. 
The correct response is: "," (B) advance knowledge  
The computer has allowed us to access more information than we ever could before, but this has not translated to a collective increase in  (A) speed ("
469,469,413,B,Where might it be hard to get furniture to?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['apartment', 'loft', 'store', 'rug', 'stairs'], dtype=object)}",apartment,loft,store,rug,,"Question: Where might it be hard to get furniture to? (A) apartment (B) loft (C) store (D) rug. 
The correct response is: ","2) loft 
The loft is a space above the ground floor, so it can be difficult to furnish a place like this because there is no ground floor to put furniture on top of. 
The other options are: 1) apartment 3) store"
470,470,839,A,What can a newspaper be used to do to an engagement?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['announce', 'communicate', 'educate', 'inform', 'cancel'],
      dtype=object)}",announce,communicate,educate,inform,,"Question: What can a newspaper be used to do to an engagement? (A) announce (B) communicate (C) educate (D) inform. 
The correct response is: "," (A) announce 
The engagement ring is a symbol of the engagement  (A) announce it to the world (B) keep it a secret (C) break it off (D) celebrate it. 
The correct response is:  ("
471,471,388,A,Where are you likely to find a Japanese restaurant not run by people from Japan?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['california', 'downtown', 'large town', 'tokio', 'china town'],
      dtype=object)}",california,downtown,large town,tokio,,"Question: Where are you likely to find a Japanese restaurant not run by people from Japan? (A) california (B) downtown (C) large town (D) tokio. 
The correct response is: "," (B) downtown  
The owner of a Japanese restaurant could be non-Japanese if the restaurant is located in:  (A) california (B) downtown (C) large town (D"
472,472,948,D,"The man was giving assistance to a pan handler in the streets, how did he give assistance?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feeling good', 'killing', 'law suits', 'out of pocket',
       'feel loved'], dtype=object)}",feeling good,killing,law suits,out of pocket,,"Question: The man was giving assistance to a pan handler in the streets, how did he give assistance? (A) feeling good (B) killing (C) law suits (D) out of pocket. 
The correct response is: "," (D) out of pocket  
The man gave assistance by using his own money 
The correct response is:  (D) out of pocket 
The man gave assistance by using his own money 
The correct response"
473,473,72,D,The kids didn't clean up after they had done what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['learn things', 'play games', 'disneyland', 'play with toys',
       'talking'], dtype=object)}",learn things,play games,disneyland,play with toys,,"Question: The kids didn't clean up after they had done what? (A) learn things (B) play games (C) disneyland (D) play with toys. 
The correct response is: "," (D) play with toys  
The kid's mess was from: playing with toys 
The parents asked the kids to clean up their  (A) toys (B) games (C) messes (D"
474,474,58,B,"If there is a place that is hot and arid, what could it be?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bland', 'lifeless', 'sandy', 'neutral', 'freezing'], dtype=object)}",bland,lifeless,sandy,neutral,,"Question: If there is a place that is hot and arid, what could it be? (A) bland (B) lifeless (C) sandy (D) neutral. 
The correct response is: "," (B) lifeless  
The desert is known for being lifeless, as there is little to no life there due to a lack of water. 
The desert is usually hot and arid, so the correct response is: (B) lif"
475,475,1002,C,How can someone die from eating hamburger?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gas', 'getting full', 'mad cow disease', 'death', 'feel full'],
      dtype=object)}",gas,getting full,mad cow disease,death,,"Question: How can someone die from eating hamburger? (A) gas (B) getting full (C) mad cow disease (D) death. 
The correct response is: "," (C) mad cow disease  
The cause of death is: infected meat 
The source of the meat is: cows 
The cause of death is: bacteria 
The type of bacteria is: prions 
The illness is"
476,476,1109,D,Where do apples form on an apple tree?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['south africa', 'sunshine', 'new york', 'bloom', 'trunk'],
      dtype=object)}",south africa,sunshine,new york,bloom,,"Question: Where do apples form on an apple tree? (A) south africa (B) sunshine (C) new york (D) bloom. 
The correct response is: "," (D) bloom  
The apple forms in the bloom of the tree 
The tree produces flower clusters called blooms, which are where apples form and develop before they grow into fruit 
The apple develops in the bloom of the tree"
477,477,607,D,Where would you store a pillow case that is not in use?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['kitchen cupboard', 'bedding store', 'england', 'drawer',
       'bedroom'], dtype=object)}",kitchen cupboard,bedding store,england,drawer,,"Question: Where would you store a pillow case that is not in use? (A) kitchen cupboard (B) bedding store (C) england (D) drawer. 
The correct response is: "," (B) bedding store  
The correct response is:  (B) bedding store 
The correct response is:  (B) bedding store 
The correct response is:  (B) bedding store 
The"
478,478,1169,D,Where would you find a ticket booth and see a concert?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['clerk', 'indoors', 'movie theater', 'venue', 'auditorium'],
      dtype=object)}",clerk,indoors,movie theater,venue,,"Question: Where would you find a ticket booth and see a concert? (A) clerk (B) indoors (C) movie theater (D) venue. 
The correct response is: "," (D) venue  
The ticket booth is most likely to be found at a  (D) venue 
The ticket booth is most likely to be found at a  (D) venue 
The ticket booth is"
479,479,865,C,The department to where vendors deliver goods for sale is called what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['delivered', 'take away', 'receiving', 'pick up', 'keep'],
      dtype=object)}",delivered,take away,receiving,pick up,,"Question: The department to where vendors deliver goods for sale is called what? (A) delivered (B) take away (C) receiving (D) pick up. 
The correct response is: "," (C) receiving  
The receiving department is where vendors deliver goods before being stocked and sold in a store. 
The other options are incorrect because:
The department to where vendors deliver goods is called receiving, not delivered 
The receiving department is"
480,480,454,C,"If somebody is working at a reception desk, they are located at the front entrance of the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['motel', 'hostel', 'building', 'lobby', 'office park'],
      dtype=object)}",motel,hostel,building,lobby,,"Question: If somebody is working at a reception desk, they are located at the front entrance of the what? (A) motel (B) hostel (C) building (D) lobby. 
The correct response is: "," (D) lobby  
The lobby is the area where the reception desk is located, so the correct response is: (D) lobby 
The lobby is a public area where"
481,481,526,C,The end of the barrel of what primitive firearm is bell shaped?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['barbell', 'funnel', 'blunderbuss', 'wind instrument',
       'kettlebell'], dtype=object)}",barbell,funnel,blunderbuss,wind instrument,,"Question: The end of the barrel of what primitive firearm is bell shaped? (A) barbell (B) funnel (C) blunderbuss (D) wind instrument. 
The correct response is: "," (C) blunderbuss  
The blunderbuss is a primitive firearm that has a barrel that ends in a wide, bell-shaped mouth 
The other options are:
(A) barbell "
482,482,56,B,"The freeway had no traffic and few buildings, where is it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['california', 'countryside', 'big town', 'florida', 'america'],
      dtype=object)}",california,countryside,big town,florida,,"Question: The freeway had no traffic and few buildings, where is it? (A) california (B) countryside (C) big town (D) florida. 
The correct response is: "," (B) countryside  
The freeway had no traffic and few buildings, where is it? implies that the freeway is in a rural area with few buildings, so the correct response is: (B) coun"
483,483,230,C,John got his tax refund back.  He treated it like it was what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['candy', 'death and', 'free money', 'discount', 'credit'],
      dtype=object)}",candy,death and,free money,discount,,"Question: John got his tax refund back.  He treated it like it was what? (A) candy (B) death and (C) free money (D) discount. 
The correct response is: "," (C) free money 
The correct response is: (C) free money 
The correct response is: (C) free money 
The correct response is: (C) free money 
The correct response is: (C)"
